Timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20220101T0000,48.308952,0.0,4.8029056,152.24146
20220101T0100,48.02095,0.0,5.149814,145.61966
20220101T0200,47.732952,0.0,5.0616093,135.0
20220101T0300,46.92295,0.0,4.7872524,127.40535
20220101T0400,46.364952,0.0,4.8029056,117.75854
20220101T0500,45.33895,0.0,5.026889,110.854454
20220101T0600,44.49295,0.0,5.2365336,109.9831
20220101T0700,43.48495,0.0,5.5248256,111.37062
20220101T0800,42.51295,0.0,5.592341,106.2602
20220101T0900,42.926952,0.0,5.8716917,107.74467
20220101T1000,46.238953,0.0,6.3664327,108.434944
20220101T1100,50.50495,0.0,6.142417,100.49147
20220101T1200,52.71895,0.0,6.4561872,104.03624
20220101T1300,55.238953,0.0,6.1870604,102.52881
20220101T1400,56.40895,0.0,6.3625016,100.124664
20220101T1500,55.544952,0.0,6.891071,103.13402
20220101T1600,53.834953,0.0,7.358126,109.53665
20220101T1700,49.17295,0.0,7.31379,113.42869
20220101T1800,46.274952,0.0,6.1097445,113.7495
20220101T1900,44.90695,0.0,5.610208,113.498566
20220101T2000,44.63695,0.0,4.818508,111.80141
20220101T2100,45.752953,0.0,4.5017476,116.56505
20220101T2200,47.28295,0.0,4.6115623,112.83366
20220101T2300,47.80495,0.0,4.951669,108.434944
20220102T0000,47.48095,0.0,5.447296,109.17901
20220102T0100,46.760952,0.0,5.610208,113.498566
20220102T0200,47.030952,0.0,5.202981,115.46334
20220102T0300,46.418953,0.0,5.816035,112.61986
20220102T0400,45.73495,0.0,6.023135,111.80141
20220102T0500,44.81695,0.0,5.610208,113.498566
20220102T0600,44.600952,0.0,4.818508,111.80141
20220102T0700,43.502953,0.0,4.3948827,104.74355
20220102T0800,43.88095,0.0,4.1125574,112.380135
20220102T0900,45.51895,0.0,4.0326943,109.44003
20220102T1000,46.994953,0.0,4.3202415,111.2505
20220102T1100,50.50495,0.0,3.9827518,128.15723
20220102T1200,52.66495,0.0,5.3171372,112.249016
20220102T1300,56.04895,0.0,2.5009708,169.69516
